iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
        0    0.0000E+00    9.501462E-01    2.525705E-01    1.202717E-15    1.202717E-15    1.202717E-15    7.500000E-06    1.000000E-15    1.000000E-15
       25    2.5000E-03    9.501462E-01    2.525627E-01    2.754697E-15    1.375163E-15    1.003497E-05    1.910610E-06    4.629303E-17    5.589390E-06
       50    5.0000E-03    9.501462E-01    2.525575E-01    3.463900E-15    1.441684E-15    2.031994E-05    1.909622E-06    4.629007E-17    5.590378E-06
       75    7.5000E-03    9.501462E-01    2.525525E-01    4.173252E-15    1.507263E-15    3.046984E-05    1.908648E-06    4.628713E-17    5.591352E-06
      100    1.0000E-02    9.501462E-01    2.525475E-01    4.882749E-15    1.571915E-15    4.048659E-05    1.907687E-06    4.628418E-17    5.592313E-06
      125    1.2500E-02    9.501462E-01    2.525425E-01    5.592388E-15    1.635653E-15    5.037205E-05    1.906739E-06    4.628122E-17    5.593261E-06
      150    1.5000E-02    9.501462E-01    2.525376E-01    6.302167E-15    1.698492E-15    6.012807E-05    1.905805E-06    4.627826E-17    5.594195E-06
      175    1.7500E-02    9.501462E-01    2.525328E-01    7.012083E-15    1.760444E-15    6.975647E-05    1.904883E-06    4.627529E-17    5.595117E-06
      200    2.0000E-02    9.501462E-01    2.525281E-01    7.722133E-15    1.821523E-15    7.925902E-05    1.903974E-06    4.627232E-17    5.596026E-06
      225    2.2500E-02    9.501462E-01    2.525234E-01    8.432316E-15    1.881741E-15    8.863749E-05    1.903077E-06    4.626934E-17    5.596923E-06
      250    2.5000E-02    9.501462E-01    2.525188E-01    9.142628E-15    1.941113E-15    9.789360E-05    1.902193E-06    4.626636E-17    5.597807E-06
      275    2.7500E-02    9.501462E-01    2.525142E-01    9.853067E-15    1.999649E-15    1.070291E-04    1.901320E-06    4.626338E-17    5.598680E-06
      300    3.0000E-02    9.501462E-01    2.525097E-01    1.056363E-14    2.057363E-15    1.160456E-04    1.900460E-06    4.626039E-17    5.599540E-06
      325    3.2500E-02    9.501462E-01    2.525052E-01    1.127432E-14    2.114267E-15    1.249447E-04    1.899611E-06    4.625741E-17    5.600389E-06
      350    3.5000E-02    9.501462E-01    2.525008E-01    1.198512E-14    2.170373E-15    1.337282E-04    1.898774E-06    4.625442E-17    5.601226E-06
      375    3.7500E-02    9.501462E-01    2.524965E-01    1.269605E-14    2.225692E-15    1.423976E-04    1.897948E-06    4.625143E-17    5.602052E-06
      400    4.0000E-02    9.501462E-01    2.524922E-01    1.340709E-14    2.280237E-15    1.509544E-04    1.897134E-06    4.624845E-17    5.602866E-06
      425    4.2500E-02    9.501462E-01    2.524880E-01    1.411824E-14    2.334018E-15    1.594003E-04    1.896330E-06    4.624546E-17    5.603670E-06
      450    4.5000E-02    9.501462E-01    2.524838E-01    1.482950E-14    2.387047E-15    1.677367E-04    1.895538E-06    4.624248E-17    5.604462E-06
      475    4.7500E-02    9.501462E-01    2.524797E-01    1.554088E-14    2.439334E-15    1.759652E-04    1.894756E-06    4.623949E-17    5.605244E-06
