iteration         time       L1-norm       L2-norm
       1    1.0000E-04    3.3998E-06    5.1347E-06
       2    2.0000E-04    1.6298E-06    2.5221E-06
       3    3.0000E-04    5.1883E-07    9.4274E-07
       4    4.0000E-04    4.0820E-07    4.8312E-07
       5    5.0000E-04    4.1560E-07    4.6147E-07
       6    6.0000E-04    4.1747E-07    4.6466E-07
       7    7.0000E-04    4.1786E-07    4.6679E-07
       8    8.0000E-04    4.1786E-07    4.6724E-07
       9    9.0000E-04    4.1772E-07    4.6708E-07
      10    1.0000E-03    4.1752E-07    4.6683E-07
      11    1.1000E-03    4.1731E-07    4.6658E-07
      12    1.2000E-03    4.1709E-07    4.6633E-07
      13    1.3000E-03    4.1687E-07    4.6609E-07
      14    1.4000E-03    4.1665E-07    4.6584E-07
      15    1.5000E-03    4.1643E-07    4.6560E-07
      16    1.6000E-03    4.1621E-07    4.6535E-07
      17    1.7000E-03    4.1599E-07    4.6510E-07
      18    1.8000E-03    4.1577E-07    4.6486E-07
      19    1.9000E-03    4.1555E-07    4.6461E-07
      20    2.0000E-03    4.1533E-07    4.6437E-07
      21    2.1000E-03    4.1511E-07    4.6412E-07
      22    2.2000E-03    4.1489E-07    4.6387E-07
      23    2.3000E-03    4.1467E-07    4.6363E-07
      24    2.4000E-03    4.1445E-07    4.6338E-07
      25    2.5000E-03    4.1424E-07    4.6314E-07
      26    2.6000E-03    4.1402E-07    4.6289E-07
      27    2.7000E-03    4.1380E-07    4.6265E-07
      28    2.8000E-03    4.1358E-07    4.6240E-07
      29    2.9000E-03    4.1336E-07    4.6216E-07
      30    3.0000E-03    4.1314E-07    4.6191E-07
      31    3.1000E-03    4.1292E-07    4.6167E-07
      32    3.2000E-03    4.1270E-07    4.6143E-07
      33    3.3000E-03    4.1249E-07    4.6118E-07
      34    3.4000E-03    4.1227E-07    4.6094E-07
      35    3.5000E-03    4.1205E-07    4.6069E-07
      36    3.6000E-03    4.1183E-07    4.6045E-07
      37    3.7000E-03    4.1161E-07    4.6021E-07
      38    3.8000E-03    4.1140E-07    4.5996E-07
      39    3.9000E-03    4.1118E-07    4.5972E-07
      40    4.0000E-03    4.1096E-07    4.5948E-07
      41    4.1000E-03    4.1074E-07    4.5923E-07
      42    4.2000E-03    4.1053E-07    4.5899E-07
      43    4.3000E-03    4.1031E-07    4.5875E-07
      44    4.4000E-03    4.1009E-07    4.5851E-07
      45    4.5000E-03    4.0987E-07    4.5826E-07
      46    4.6000E-03    4.0966E-07    4.5802E-07
      47    4.7000E-03    4.0944E-07    4.5778E-07
      48    4.8000E-03    4.0923E-07    4.5754E-07
      49    4.9000E-03    4.0901E-07    4.5729E-07
      50    5.0000E-03    4.0879E-07    4.5705E-07
      51    5.1000E-03    4.0858E-07    4.5681E-07
      52    5.2000E-03    4.0836E-07    4.5657E-07
      53    5.3000E-03    4.0814E-07    4.5633E-07
      54    5.4000E-03    4.0793E-07    4.5609E-07
      55    5.5000E-03    4.0771E-07    4.5585E-07
      56    5.6000E-03    4.0750E-07    4.5561E-07
      57    5.7000E-03    4.0728E-07    4.5536E-07
      58    5.8000E-03    4.0707E-07    4.5512E-07
      59    5.9000E-03    4.0685E-07    4.5488E-07
      60    6.0000E-03    4.0664E-07    4.5464E-07
      61    6.1000E-03    4.0642E-07    4.5440E-07
      62    6.2000E-03    4.0621E-07    4.5416E-07
      63    6.3000E-03    4.0599E-07    4.5392E-07
      64    6.4000E-03    4.0578E-07    4.5368E-07
      65    6.5000E-03    4.0556E-07    4.5344E-07
      66    6.6000E-03    4.0535E-07    4.5320E-07
      67    6.7000E-03    4.0514E-07    4.5296E-07
      68    6.8000E-03    4.0492E-07    4.5272E-07
      69    6.9000E-03    4.0471E-07    4.5249E-07
      70    7.0000E-03    4.0449E-07    4.5225E-07
      71    7.1000E-03    4.0428E-07    4.5201E-07
      72    7.2000E-03    4.0407E-07    4.5177E-07
      73    7.3000E-03    4.0385E-07    4.5153E-07
      74    7.4000E-03    4.0364E-07    4.5129E-07
      75    7.5000E-03    4.0343E-07    4.5105E-07
      76    7.6000E-03    4.0321E-07    4.5082E-07
      77    7.7000E-03    4.0300E-07    4.5058E-07
      78    7.8000E-03    4.0279E-07    4.5034E-07
      79    7.9000E-03    4.0258E-07    4.5010E-07
      80    8.0000E-03    4.0236E-07    4.4986E-07
      81    8.1000E-03    4.0215E-07    4.4963E-07
      82    8.2000E-03    4.0194E-07    4.4939E-07
      83    8.3000E-03    4.0173E-07    4.4915E-07
      84    8.4000E-03    4.0151E-07    4.4891E-07
      85    8.5000E-03    4.0130E-07    4.4868E-07
      86    8.6000E-03    4.0109E-07    4.4844E-07
      87    8.7000E-03    4.0088E-07    4.4820E-07
      88    8.8000E-03    4.0067E-07    4.4797E-07
      89    8.9000E-03    4.0046E-07    4.4773E-07
      90    9.0000E-03    4.0024E-07    4.4749E-07
      91    9.1000E-03    4.0003E-07    4.4726E-07
      92    9.2000E-03    3.9982E-07    4.4702E-07
      93    9.3000E-03    3.9961E-07    4.4679E-07
      94    9.4000E-03    3.9940E-07    4.4655E-07
      95    9.5000E-03    3.9919E-07    4.4632E-07
      96    9.6000E-03    3.9898E-07    4.4608E-07
      97    9.7000E-03    3.9877E-07    4.4584E-07
      98    9.8000E-03    3.9856E-07    4.4561E-07
      99    9.9000E-03    3.9835E-07    4.4537E-07
     100    1.0000E-02    3.9814E-07    4.4514E-07
     101    1.0100E-02    3.9793E-07    4.4490E-07
     102    1.0200E-02    3.9772E-07    4.4467E-07
     103    1.0300E-02    3.9751E-07    4.4443E-07
     104    1.0400E-02    3.9730E-07    4.4420E-07
     105    1.0500E-02    3.9709E-07    4.4397E-07
     106    1.0600E-02    3.9688E-07    4.4373E-07
     107    1.0700E-02    3.9667E-07    4.4350E-07
     108    1.0800E-02    3.9646E-07    4.4326E-07
     109    1.0900E-02    3.9625E-07    4.4303E-07
     110    1.1000E-02    3.9604E-07    4.4280E-07
     111    1.1100E-02    3.9583E-07    4.4256E-07
     112    1.1200E-02    3.9562E-07    4.4233E-07
     113    1.1300E-02    3.9542E-07    4.4210E-07
     114    1.1400E-02    3.9521E-07    4.4186E-07
     115    1.1500E-02    3.9500E-07    4.4163E-07
     116    1.1600E-02    3.9479E-07    4.4140E-07
     117    1.1700E-02    3.9458E-07    4.4116E-07
     118    1.1800E-02    3.9437E-07    4.4093E-07
     119    1.1900E-02    3.9417E-07    4.4070E-07
     120    1.2000E-02    3.9396E-07    4.4047E-07
     121    1.2100E-02    3.9375E-07    4.4024E-07
     122    1.2200E-02    3.9354E-07    4.4000E-07
     123    1.2300E-02    3.9334E-07    4.3977E-07
     124    1.2400E-02    3.9313E-07    4.3954E-07
     125    1.2500E-02    3.9292E-07    4.3931E-07
     126    1.2600E-02    3.9271E-07    4.3908E-07
     127    1.2700E-02    3.9251E-07    4.3884E-07
     128    1.2800E-02    3.9230E-07    4.3861E-07
     129    1.2900E-02    3.9209E-07    4.3838E-07
     130    1.3000E-02    3.9189E-07    4.3815E-07
     131    1.3100E-02    3.9168E-07    4.3792E-07
     132    1.3200E-02    3.9147E-07    4.3769E-07
     133    1.3300E-02    3.9127E-07    4.3746E-07
     134    1.3400E-02    3.9106E-07    4.3723E-07
     135    1.3500E-02    3.9086E-07    4.3700E-07
     136    1.3600E-02    3.9065E-07    4.3677E-07
     137    1.3700E-02    3.9044E-07    4.3654E-07
     138    1.3800E-02    3.9024E-07    4.3631E-07
