iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
        0    0.0000E+00    9.501462E-01    2.525705E-01    1.202717E-15    1.202717E-15    1.202717E-15    7.500000E-06    1.000000E-15    1.000000E-15
        1    2.0000E-08    9.501462E-01    2.525705E-01    1.202717E-15    1.202731E-15    1.206027E-11    7.488611E-06    1.000081E-15    1.138927E-08
        2    4.0000E-08    9.501462E-01    2.525705E-01    1.202717E-15    1.202745E-15    2.426572E-11    7.477256E-06    1.000162E-15    2.274383E-08
        3    6.0000E-08    9.501462E-01    2.525705E-01    1.202717E-15    1.202759E-15    3.661711E-11    7.465936E-06    1.000242E-15    3.406383E-08
        4    8.0000E-08    9.501462E-01    2.525705E-01    1.202718E-15    1.202773E-15    4.911399E-11    7.454651E-06    1.000321E-15    4.534942E-08
        5    1.0000E-07    9.501462E-01    2.525705E-01    1.202719E-15    1.202787E-15    6.175592E-11    7.443399E-06    1.000400E-15    5.660074E-08
        6    1.2000E-07    9.501462E-01    2.525705E-01    1.202720E-15    1.202801E-15    7.454245E-11    7.432182E-06    1.000478E-15    6.781796E-08
        7    1.4000E-07    9.501462E-01    2.525705E-01    1.202722E-15    1.202815E-15    8.747316E-11    7.420999E-06    1.000556E-15    7.900122E-08
        8    1.6000E-07    9.501462E-01    2.525705E-01    1.202724E-15    1.202829E-15    1.005476E-10    7.409849E-06    1.000634E-15    9.015067E-08
        9    1.8000E-07    9.501462E-01    2.525704E-01    1.202726E-15    1.202843E-15    1.137654E-10    7.398734E-06    1.000711E-15    1.012665E-07
       10    2.0000E-07    9.501462E-01    2.525704E-01    1.202728E-15    1.202857E-15    1.271260E-10    7.387651E-06    1.000787E-15    1.123487E-07
       11    2.2000E-07    9.501462E-01    2.525704E-01    1.202730E-15    1.202871E-15    1.406290E-10    7.376602E-06    1.000863E-15    1.233976E-07
       12    2.4000E-07    9.501462E-01    2.525704E-01    1.202733E-15    1.202885E-15    1.542741E-10    7.365587E-06    1.000938E-15    1.344133E-07
       13    2.6000E-07    9.501462E-01    2.525704E-01    1.202736E-15    1.202899E-15    1.680607E-10    7.354604E-06    1.001013E-15    1.453959E-07
       14    2.8000E-07    9.501462E-01    2.525704E-01    1.202739E-15    1.202913E-15    1.819885E-10    7.343655E-06    1.001087E-15    1.563455E-07
       15    3.0000E-07    9.501462E-01    2.525704E-01    1.202743E-15    1.202927E-15    1.960570E-10    7.332738E-06    1.001161E-15    1.672623E-07
       16    3.2000E-07    9.501462E-01    2.525704E-01    1.202746E-15    1.202941E-15    2.102659E-10    7.321853E-06    1.001234E-15    1.781465E-07
       17    3.4000E-07    9.501462E-01    2.525704E-01    1.202750E-15    1.202955E-15    2.246146E-10    7.311002E-06    1.001307E-15    1.889982E-07
       18    3.6000E-07    9.501462E-01    2.525704E-01    1.202754E-15    1.202969E-15    2.391028E-10    7.300183E-06    1.001379E-15    1.998175E-07
       19    3.8000E-07    9.501462E-01    2.525704E-01    1.202759E-15    1.202984E-15    2.537300E-10    7.289395E-06    1.001450E-15    2.106046E-07
       20    4.0000E-07    9.501462E-01    2.525704E-01    1.202763E-15    1.202998E-15    2.684959E-10    7.278640E-06    1.001522E-15    2.213595E-07
       21    4.2000E-07    9.501462E-01    2.525704E-01    1.202768E-15    1.203012E-15    2.834000E-10    7.267917E-06    1.001592E-15    2.320825E-07
       22    4.4000E-07    9.501462E-01    2.525704E-01    1.202773E-15    1.203026E-15    2.984420E-10    7.257226E-06    1.001662E-15    2.427737E-07
       23    4.6000E-07    9.501462E-01    2.525704E-01    1.202779E-15    1.203040E-15    3.136213E-10    7.246567E-06    1.001732E-15    2.534332E-07
       24    4.8000E-07    9.501462E-01    2.525704E-01    1.202784E-15    1.203054E-15    3.289377E-10    7.235939E-06    1.001801E-15    2.640611E-07
       25    5.0000E-07    9.501462E-01    2.525704E-01    1.202790E-15    1.203068E-15    3.443906E-10    7.225342E-06    1.001870E-15    2.746576E-07
       26    5.2000E-07    9.501462E-01    2.525704E-01    1.202796E-15    1.203082E-15    3.599798E-10    7.214777E-06    1.001938E-15    2.852228E-07
       27    5.4000E-07    9.501462E-01    2.525703E-01    1.202802E-15    1.203096E-15    3.757047E-10    7.204243E-06    1.002006E-15    2.957569E-07
       28    5.6000E-07    9.501462E-01    2.525703E-01    1.202809E-15    1.203110E-15    3.915650E-10    7.193740E-06    1.002073E-15    3.062599E-07
       29    5.8000E-07    9.501462E-01    2.525703E-01    1.202815E-15    1.203124E-15    4.075603E-10    7.183268E-06    1.002140E-15    3.167321E-07
       30    6.0000E-07    9.501462E-01    2.525703E-01    1.202822E-15    1.203138E-15    4.236902E-10    7.172826E-06    1.002206E-15    3.271735E-07
       31    6.2000E-07    9.501462E-01    2.525703E-01    1.202830E-15    1.203152E-15    4.399543E-10    7.162416E-06    1.002272E-15    3.375843E-07
       32    6.4000E-07    9.501462E-01    2.525703E-01    1.202837E-15    1.203167E-15    4.563522E-10    7.152035E-06    1.002337E-15    3.479645E-07
       33    6.6000E-07    9.501462E-01    2.525703E-01    1.202845E-15    1.203181E-15    4.728836E-10    7.141686E-06    1.002402E-15    3.583145E-07
       34    6.8000E-07    9.501462E-01    2.525703E-01    1.202852E-15    1.203195E-15    4.895479E-10    7.131366E-06    1.002466E-15    3.686341E-07
       35    7.0000E-07    9.501462E-01    2.525703E-01    1.202861E-15    1.203209E-15    5.063449E-10    7.121076E-06    1.002530E-15    3.789237E-07
       36    7.2000E-07    9.501462E-01    2.525703E-01    1.202869E-15    1.203223E-15    5.232741E-10    7.110817E-06    1.002593E-15    3.891832E-07
       37    7.4000E-07    9.501462E-01    2.525703E-01    1.202877E-15    1.203237E-15    5.403352E-10    7.100587E-06    1.002656E-15    3.994129E-07
       38    7.6000E-07    9.501462E-01    2.525703E-01    1.202886E-15    1.203251E-15    5.575278E-10    7.090387E-06    1.002719E-15    4.096128E-07
       39    7.8000E-07    9.501462E-01    2.525703E-01    1.202895E-15    1.203265E-15    5.748514E-10    7.080217E-06    1.002781E-15    4.197832E-07
       40    8.0000E-07    9.501462E-01    2.525703E-01    1.202904E-15    1.203279E-15    5.923058E-10    7.070076E-06    1.002842E-15    4.299240E-07
       41    8.2000E-07    9.501462E-01    2.525703E-01    1.202914E-15    1.203293E-15    6.098905E-10    7.059965E-06    1.002903E-15    4.400355E-07
