iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
        0    0.0000E+00    9.501462E-01    2.525705E-01    1.202717E-15    1.202717E-15    1.202717E-15    7.500000E-06    1.000000E-15    1.000000E-15
        1    2.0000E-08    9.501462E-01    2.525705E-01    1.202717E-15    1.202731E-15    1.220621E-11    7.488645E-06    1.000081E-15    1.135464E-08
        2    4.0000E-08    9.501462E-01    2.525705E-01    1.202717E-15    1.202745E-15    2.455671E-11    7.477325E-06    1.000161E-15    2.267483E-08
        3    6.0000E-08    9.501462E-01    2.525705E-01    1.202718E-15    1.202759E-15    3.705226E-11    7.466039E-06    1.000240E-15    3.396070E-08
        4    8.0000E-08    9.501462E-01    2.525705E-01    1.202719E-15    1.202773E-15    4.969243E-11    7.454788E-06    1.000319E-15    4.521242E-08
        5    1.0000E-07    9.501462E-01    2.525705E-01    1.202720E-15    1.202787E-15    6.247677E-11    7.443570E-06    1.000397E-15    5.643014E-08
        6    1.2000E-07    9.501462E-01    2.525705E-01    1.202722E-15    1.202801E-15    7.540486E-11    7.432386E-06    1.000475E-15    6.761399E-08
        7    1.4000E-07    9.501462E-01    2.525705E-01    1.202724E-15    1.202815E-15    8.847626E-11    7.421236E-06    1.000553E-15    7.876413E-08
        8    1.6000E-07    9.501462E-01    2.525705E-01    1.202726E-15    1.202829E-15    1.016905E-10    7.410119E-06    1.000630E-15    8.988071E-08
        9    1.8000E-07    9.501462E-01    2.525704E-01    1.202728E-15    1.202843E-15    1.150473E-10    7.399036E-06    1.000706E-15    1.009639E-07
       10    2.0000E-07    9.501462E-01    2.525704E-01    1.202730E-15    1.202857E-15    1.285460E-10    7.387986E-06    1.000782E-15    1.120137E-07
       11    2.2000E-07    9.501462E-01    2.525704E-01    1.202733E-15    1.202871E-15    1.421863E-10    7.376970E-06    1.000857E-15    1.230305E-07
       12    2.4000E-07    9.501462E-01    2.525704E-01    1.202736E-15    1.202885E-15    1.559678E-10    7.365986E-06    1.000932E-15    1.340142E-07
       13    2.6000E-07    9.501462E-01    2.525704E-01    1.202739E-15    1.202899E-15    1.698901E-10    7.355035E-06    1.001006E-15    1.449652E-07
       14    2.8000E-07    9.501462E-01    2.525704E-01    1.202742E-15    1.202913E-15    1.839527E-10    7.344117E-06    1.001080E-15    1.558834E-07
       15    3.0000E-07    9.501462E-01    2.525704E-01    1.202746E-15    1.202927E-15    1.981552E-10    7.333231E-06    1.001153E-15    1.667690E-07
       16    3.2000E-07    9.501462E-01    2.525704E-01    1.202750E-15    1.202941E-15    2.124972E-10    7.322378E-06    1.001226E-15    1.776222E-07
       17    3.4000E-07    9.501462E-01    2.525704E-01    1.202754E-15    1.202955E-15    2.269782E-10    7.311557E-06    1.001298E-15    1.884431E-07
       18    3.6000E-07    9.501462E-01    2.525704E-01    1.202758E-15    1.202970E-15    2.415979E-10    7.300768E-06    1.001370E-15    1.992319E-07
       19    3.8000E-07    9.501462E-01    2.525704E-01    1.202763E-15    1.202984E-15    2.563559E-10    7.290011E-06    1.001441E-15    2.099887E-07
       20    4.0000E-07    9.501462E-01    2.525704E-01    1.202768E-15    1.202998E-15    2.712517E-10    7.279286E-06    1.001511E-15    2.207136E-07
       21    4.2000E-07    9.501462E-01    2.525704E-01    1.202773E-15    1.203012E-15    2.862850E-10    7.268593E-06    1.001582E-15    2.314067E-07
       22    4.4000E-07    9.501462E-01    2.525704E-01    1.202778E-15    1.203026E-15    3.014553E-10    7.257932E-06    1.001651E-15    2.420683E-07
       23    4.6000E-07    9.501462E-01    2.525704E-01    1.202784E-15    1.203040E-15    3.167622E-10    7.247302E-06    1.001721E-15    2.526984E-07
       24    4.8000E-07    9.501462E-01    2.525704E-01    1.202790E-15    1.203054E-15    3.322053E-10    7.236703E-06    1.001789E-15    2.632971E-07
       25    5.0000E-07    9.501462E-01    2.525704E-01    1.202796E-15    1.203068E-15    3.477842E-10    7.226135E-06    1.001858E-15    2.738647E-07
       26    5.2000E-07    9.501462E-01    2.525704E-01    1.202802E-15    1.203082E-15    3.634986E-10    7.215599E-06    1.001925E-15    2.844011E-07
       27    5.4000E-07    9.501462E-01    2.525703E-01    1.202808E-15    1.203096E-15    3.793480E-10    7.205093E-06    1.001993E-15    2.949067E-07
       28    5.6000E-07    9.501462E-01    2.525703E-01    1.202815E-15    1.203110E-15    3.953320E-10    7.194619E-06    1.002059E-15    3.053814E-07
       29    5.8000E-07    9.501462E-01    2.525703E-01    1.202822E-15    1.203124E-15    4.114503E-10    7.184175E-06    1.002126E-15    3.158254E-07
       30    6.0000E-07    9.501462E-01    2.525703E-01    1.202829E-15    1.203138E-15    4.277024E-10    7.173761E-06    1.002191E-15    3.262389E-07
       31    6.2000E-07    9.501462E-01    2.525703E-01    1.202837E-15    1.203152E-15    4.440879E-10    7.163378E-06    1.002257E-15    3.366220E-07
       32    6.4000E-07    9.501462E-01    2.525703E-01    1.202844E-15    1.203167E-15    4.606065E-10    7.153025E-06    1.002321E-15    3.469748E-07
       33    6.6000E-07    9.501462E-01    2.525703E-01    1.202852E-15    1.203181E-15    4.772578E-10    7.142703E-06    1.002386E-15    3.572974E-07
       34    6.8000E-07    9.501462E-01    2.525703E-01    1.202860E-15    1.203195E-15    4.940413E-10    7.132410E-06    1.002450E-15    3.675900E-07
       35    7.0000E-07    9.501462E-01    2.525703E-01    1.202868E-15    1.203209E-15    5.109568E-10    7.122147E-06    1.002513E-15    3.778526E-07
       36    7.2000E-07    9.501462E-01    2.525703E-01    1.202877E-15    1.203223E-15    5.280038E-10    7.111915E-06    1.002576E-15    3.880855E-07
       37    7.4000E-07    9.501462E-01    2.525703E-01    1.202886E-15    1.203237E-15    5.451819E-10    7.101711E-06    1.002639E-15    3.982887E-07
       38    7.6000E-07    9.501462E-01    2.525703E-01    1.202895E-15    1.203251E-15    5.624907E-10    7.091538E-06    1.002701E-15    4.084623E-07
       39    7.8000E-07    9.501462E-01    2.525703E-01    1.202904E-15    1.203265E-15    5.799300E-10    7.081393E-06    1.002762E-15    4.186065E-07
       40    8.0000E-07    9.501462E-01    2.525703E-01    1.202913E-15    1.203279E-15    5.974992E-10    7.071279E-06    1.002823E-15    4.287215E-07
       41    8.2000E-07    9.501462E-01    2.525703E-01    1.202923E-15    1.203293E-15    6.151981E-10    7.061193E-06    1.002884E-15    4.388072E-07
