iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
        0    0.0000E+00    9.501462E-01    2.525705E-01    1.202717E-15    1.202717E-15    1.202717E-15    7.500000E-06    1.000000E-15    1.000000E-15
        1    2.0000E-08    9.501462E-01    2.525705E-01    1.202717E-15    1.202726E-15    8.105508E-12    7.492423E-06    1.000054E-15    7.577442E-09
        2    4.0000E-08    9.501462E-01    2.525705E-01    1.202717E-15    1.202738E-15    1.899764E-11    7.482340E-06    1.000125E-15    1.766022E-08
        3    6.0000E-08    9.501462E-01    2.525705E-01    1.202718E-15    1.202752E-15    3.091241E-11    7.471444E-06    1.000202E-15    2.855601E-08
        4    8.0000E-08    9.501462E-01    2.525705E-01    1.202718E-15    1.202766E-15    4.326355E-11    7.460300E-06    1.000281E-15    3.970024E-08
        5    1.0000E-07    9.501462E-01    2.525705E-01    1.202719E-15    1.202780E-15    5.585615E-11    7.449095E-06    1.000359E-15    5.090463E-08
        6    1.2000E-07    9.501462E-01    2.525705E-01    1.202721E-15    1.202794E-15    6.862522E-11    7.437894E-06    1.000438E-15    6.210644E-08
        7    1.4000E-07    9.501462E-01    2.525705E-01    1.202722E-15    1.202808E-15    8.154889E-11    7.426715E-06    1.000515E-15    7.328484E-08
        8    1.6000E-07    9.501462E-01    2.525705E-01    1.202724E-15    1.202822E-15    9.461962E-11    7.415567E-06    1.000593E-15    8.443299E-08
        9    1.8000E-07    9.501462E-01    2.525704E-01    1.202726E-15    1.202836E-15    1.078346E-10    7.404451E-06    1.000670E-15    9.554869E-08
       10    2.0000E-07    9.501462E-01    2.525704E-01    1.202728E-15    1.202850E-15    1.211926E-10    7.393369E-06    1.000746E-15    1.066313E-07
       11    2.2000E-07    9.501462E-01    2.525704E-01    1.202730E-15    1.202864E-15    1.346930E-10    7.382319E-06    1.000822E-15    1.176807E-07
       12    2.4000E-07    9.501462E-01    2.525704E-01    1.202733E-15    1.202878E-15    1.483353E-10    7.371303E-06    1.000897E-15    1.286970E-07
       13    2.6000E-07    9.501462E-01    2.525704E-01    1.202736E-15    1.202892E-15    1.621189E-10    7.360320E-06    1.000972E-15    1.396803E-07
       14    2.8000E-07    9.501462E-01    2.525704E-01    1.202739E-15    1.202906E-15    1.760435E-10    7.349369E-06    1.001046E-15    1.506307E-07
       15    3.0000E-07    9.501462E-01    2.525704E-01    1.202743E-15    1.202920E-15    1.901086E-10    7.338452E-06    1.001120E-15    1.615483E-07
       16    3.2000E-07    9.501462E-01    2.525704E-01    1.202746E-15    1.202934E-15    2.043139E-10    7.327567E-06    1.001193E-15    1.724333E-07
       17    3.4000E-07    9.501462E-01    2.525704E-01    1.202750E-15    1.202948E-15    2.186588E-10    7.316714E-06    1.001266E-15    1.832859E-07
       18    3.6000E-07    9.501462E-01    2.525704E-01    1.202754E-15    1.202962E-15    2.331430E-10    7.305894E-06    1.001338E-15    1.941061E-07
       19    3.8000E-07    9.501462E-01    2.525704E-01    1.202759E-15    1.202977E-15    2.477661E-10    7.295106E-06    1.001410E-15    2.048941E-07
       20    4.0000E-07    9.501462E-01    2.525704E-01    1.202763E-15    1.202991E-15    2.625276E-10    7.284350E-06    1.001481E-15    2.156501E-07
       21    4.2000E-07    9.501462E-01    2.525704E-01    1.202768E-15    1.203005E-15    2.774272E-10    7.273626E-06    1.001551E-15    2.263741E-07
       22    4.4000E-07    9.501462E-01    2.525704E-01    1.202773E-15    1.203019E-15    2.924643E-10    7.262934E-06    1.001622E-15    2.370664E-07
       23    4.6000E-07    9.501462E-01    2.525704E-01    1.202779E-15    1.203033E-15    3.076387E-10    7.252273E-06    1.001691E-15    2.477270E-07
       24    4.8000E-07    9.501462E-01    2.525704E-01    1.202784E-15    1.203047E-15    3.229500E-10    7.241644E-06    1.001761E-15    2.583561E-07
       25    5.0000E-07    9.501462E-01    2.525704E-01    1.202790E-15    1.203061E-15    3.383976E-10    7.231046E-06    1.001829E-15    2.689538E-07
       26    5.2000E-07    9.501462E-01    2.525704E-01    1.202796E-15    1.203075E-15    3.539812E-10    7.220480E-06    1.001897E-15    2.795203E-07
       27    5.4000E-07    9.501462E-01    2.525704E-01    1.202802E-15    1.203089E-15    3.697005E-10    7.209944E-06    1.001965E-15    2.900557E-07
       28    5.6000E-07    9.501462E-01    2.525703E-01    1.202809E-15    1.203103E-15    3.855549E-10    7.199440E-06    1.002032E-15    3.005601E-07
       29    5.8000E-07    9.501462E-01    2.525703E-01    1.202815E-15    1.203117E-15    4.015442E-10    7.188966E-06    1.002099E-15    3.110336E-07
       30    6.0000E-07    9.501462E-01    2.525703E-01    1.202822E-15    1.203131E-15    4.176678E-10    7.178524E-06    1.002165E-15    3.214764E-07
       31    6.2000E-07    9.501462E-01    2.525703E-01    1.202830E-15    1.203145E-15    4.339255E-10    7.168111E-06    1.002231E-15    3.318887E-07
       32    6.4000E-07    9.501462E-01    2.525703E-01    1.202837E-15    1.203160E-15    4.503168E-10    7.157730E-06    1.002296E-15    3.422704E-07
       33    6.6000E-07    9.501462E-01    2.525703E-01    1.202845E-15    1.203174E-15    4.668414E-10    7.147378E-06    1.002361E-15    3.526219E-07
       34    6.8000E-07    9.501462E-01    2.525703E-01    1.202852E-15    1.203188E-15    4.834988E-10    7.137057E-06    1.002426E-15    3.629431E-07
       35    7.0000E-07    9.501462E-01    2.525703E-01    1.202860E-15    1.203202E-15    5.002887E-10    7.126766E-06    1.002489E-15    3.732342E-07
       36    7.2000E-07    9.501462E-01    2.525703E-01    1.202869E-15    1.203216E-15    5.172106E-10    7.116505E-06    1.002553E-15    3.834954E-07
       37    7.4000E-07    9.501462E-01    2.525703E-01    1.202877E-15    1.203230E-15    5.342643E-10    7.106273E-06    1.002616E-15    3.937268E-07
       38    7.6000E-07    9.501462E-01    2.525703E-01    1.202886E-15    1.203244E-15    5.514492E-10    7.096072E-06    1.002678E-15    4.039285E-07
       39    7.8000E-07    9.501462E-01    2.525703E-01    1.202895E-15    1.203258E-15    5.687651E-10    7.085899E-06    1.002740E-15    4.141006E-07
       40    8.0000E-07    9.501462E-01    2.525703E-01    1.202904E-15    1.203272E-15    5.862115E-10    7.075757E-06    1.002802E-15    4.242432E-07
       41    8.2000E-07    9.501462E-01    2.525703E-01    1.202914E-15    1.203286E-15    6.037881E-10    7.065644E-06    1.002863E-15    4.343565E-07
       42    8.4000E-07    9.501462E-01    2.525703E-01    1.202923E-15    1.203300E-15    6.214945E-10    7.055559E-06    1.002923E-15    4.444406E-07
       43    8.6000E-07    9.501462E-01    2.525703E-01    1.202933E-15    1.203315E-15    6.393303E-10    7.045504E-06    1.002983E-15    4.544955E-07
       44    8.8000E-07    9.501462E-01    2.525703E-01    1.202943E-15    1.203329E-15    6.572951E-10    7.035478E-06    1.003043E-15    4.645216E-07
       45    9.0000E-07    9.501462E-01    2.525703E-01    1.202954E-15    1.203343E-15    6.753886E-10    7.025481E-06    1.003102E-15    4.745187E-07
       46    9.2000E-07    9.501462E-01    2.525703E-01    1.202964E-15    1.203357E-15    6.936105E-10    7.015513E-06    1.003161E-15    4.844872E-07
       47    9.4000E-07    9.501462E-01    2.525702E-01    1.202975E-15    1.203371E-15    7.119602E-10    7.005573E-06    1.003219E-15    4.944270E-07
       48    9.6000E-07    9.501462E-01    2.525702E-01    1.202986E-15    1.203385E-15    7.304375E-10    6.995662E-06    1.003277E-15    5.043383E-07
       49    9.8000E-07    9.501462E-01    2.525702E-01    1.202997E-15    1.203399E-15    7.490421E-10    6.985779E-06    1.003334E-15    5.142213E-07
