iteration          time            xCO2             xCO             xO2              xO          xE(s1)         xCO(s1)          xO(s1)
        0    0.0000E+00    5.279926E-01    4.221535E-01    1.683803E-01    8.419017E-02    1.850000E-05    1.000000E-15    1.000000E-15
      500    1.0000E-02    6.991902E-01    2.509559E-01    1.246772E-01    3.938599E-04    1.350865E-05    1.330018E-09    4.990021E-06
     1000    2.0000E-02    7.852471E-01    1.648991E-01    8.167159E-02    3.486429E-04    1.393571E-05    9.019029E-10    4.563384E-06
     1500    3.0000E-02    8.358351E-01    1.143111E-01    5.639707E-02    3.100274E-04    1.432452E-05    6.429063E-10    4.174839E-06
     2000    4.0000E-02    8.665511E-01    8.359508E-02    4.105494E-02    2.786520E-04    1.465771E-05    4.812716E-10    3.841811E-06
     2500    5.0000E-02    8.857747E-01    6.437146E-02    3.145557E-02    2.540399E-04    1.493055E-05    3.776315E-10    3.569074E-06
     3000    6.0000E-02    8.981275E-01    5.201861E-02    2.528866E-02    2.352221E-04    1.514630E-05    3.096758E-10    3.353390E-06
     3500    7.0000E-02    9.062403E-01    4.390589E-02    2.123943E-02    2.211136E-04    1.531228E-05    2.643207E-10    3.187451E-06
     4000    8.0000E-02    9.116612E-01    3.848493E-02    1.853423E-02    2.106980E-04    1.543722E-05    2.336338E-10    3.062549E-06
     4500    9.0000E-02    9.153320E-01    3.481411E-02    1.670266E-02    2.031027E-04    1.552964E-05    2.126573E-10    2.970152E-06
     5000    1.0000E-01    9.178427E-01    3.230343E-02    1.545010E-02    1.976173E-04    1.559708E-05    1.982099E-10    2.902722E-06
     5500    1.1000E-01    9.195726E-01    3.057353E-02    1.458714E-02    1.936854E-04    1.564579E-05    1.882046E-10    2.854022E-06
     6000    1.2000E-01    9.207710E-01    2.937519E-02    1.398938E-02    1.908829E-04    1.568070E-05    1.812480E-10    2.819123E-06
     6500    1.3000E-01    9.216043E-01    2.854185E-02    1.357372E-02    1.888940E-04    1.570557E-05    1.763976E-10    2.794258E-06
     7000    1.4000E-01    9.221854E-01    2.796074E-02    1.328388E-02    1.874867E-04    1.572321E-05    1.730088E-10    2.776617E-06
     7500    1.5000E-01    9.225914E-01    2.755471E-02    1.308137E-02    1.864933E-04    1.573569E-05    1.706379E-10    2.764140E-06
     8000    1.6000E-01    9.228755E-01    2.727061E-02    1.293967E-02    1.857931E-04    1.574450E-05    1.689775E-10    2.755334E-06
     8500    1.7000E-01    9.230745E-01    2.707164E-02    1.284044E-02    1.853003E-04    1.575070E-05    1.678138E-10    2.749129E-06
     9000    1.8000E-01    9.232140E-01    2.693219E-02    1.277089E-02    1.849536E-04    1.575507E-05    1.669978E-10    2.744761E-06
     9500    1.9000E-01    9.233117E-01    2.683441E-02    1.272212E-02    1.847098E-04    1.575814E-05    1.664254E-10    2.741689E-06
    10000    2.0000E-01    9.233803E-01    2.676582E-02    1.268791E-02    1.845386E-04    1.576030E-05    1.660239E-10    2.739530E-06
    10500    2.1000E-01    9.234285E-01    2.671770E-02    1.266391E-02    1.844182E-04    1.576182E-05    1.657421E-10    2.738013E-06
    11000    2.2000E-01    9.234622E-01    2.668393E-02    1.264707E-02    1.843337E-04    1.576289E-05    1.655443E-10    2.736947E-06
    11500    2.3000E-01    9.234859E-01    2.666023E-02    1.263525E-02    1.842744E-04    1.576364E-05    1.654055E-10    2.736198E-06
    12000    2.4000E-01    9.235026E-01    2.664359E-02    1.262695E-02    1.842327E-04    1.576416E-05    1.653081E-10    2.735673E-06
    12500    2.5000E-01    9.235142E-01    2.663192E-02    1.262113E-02    1.842035E-04    1.576453E-05    1.652397E-10    2.735304E-06
    13000    2.6000E-01    9.235224E-01    2.662372E-02    1.261704E-02    1.841829E-04    1.576479E-05    1.651917E-10    2.735044E-06
    13500    2.7000E-01    9.235282E-01    2.661797E-02    1.261417E-02    1.841685E-04    1.576497E-05    1.651579E-10    2.734862E-06
    14000    2.8000E-01    9.235322E-01    2.661393E-02    1.261216E-02    1.841584E-04    1.576510E-05    1.651343E-10    2.734735E-06
    14500    2.9000E-01    9.235351E-01    2.661109E-02    1.261075E-02    1.841513E-04    1.576519E-05    1.651177E-10    2.734645E-06
    15000    3.0000E-01    9.235370E-01    2.660910E-02    1.260975E-02    1.841463E-04    1.576525E-05    1.651060E-10    2.734582E-06
