iteration          time             xO2              xO              xN             xCO             xCN             xC3          xE(s1)          xC(b1)
        0    0.0000E+00    1.262852E-02    6.013583E-17    4.750731E-02    6.013583E-17    6.013583E-17    6.013583E-17    7.500000E-06    1.000000E+00
       25    1.2500E-03    9.844430E-03    4.314417E-17    3.790280E-02    5.568189E-03    9.604512E-03    5.296101E-02    7.500000E-06    1.000000E+00
       50    2.5000E-03    7.634704E-03    3.074087E-17    3.009930E-02    9.987642E-03    1.740800E-02    1.045023E-01    7.500000E-06    1.000000E+00
       75    3.7500E-03    5.920982E-03    2.190333E-17    2.390241E-02    1.341508E-02    2.360490E-02    1.536324E-01    7.500000E-06    1.000000E+00
      100    5.0000E-03    4.591931E-03    1.560645E-17    1.898134E-02    1.607319E-02    2.852597E-02    2.004643E-01    7.500000E-06    1.000000E+00
      125    6.2500E-03    3.561205E-03    1.111983E-17    1.507343E-02    1.813464E-02    3.243388E-02    2.451054E-01    7.500000E-06    1.000000E+00
      150    7.5000E-03    2.761840E-03    7.923042E-18    1.197008E-02    1.973337E-02    3.553722E-02    2.876582E-01    7.500000E-06    1.000000E+00
      175    8.7500E-03    2.141905E-03    5.645285E-18    9.505663E-03    2.097324E-02    3.800164E-02    3.282204E-01    7.500000E-06    1.000000E+00
      200    1.0000E-02    1.661123E-03    4.022350E-18    7.548621E-03    2.193480E-02    3.995869E-02    3.668852E-01    7.500000E-06    1.000000E+00
      225    1.1250E-02    1.288259E-03    2.865984E-18    5.994498E-03    2.268053E-02    4.151281E-02    4.037411E-01    7.500000E-06    1.000000E+00
      250    1.2500E-02    9.990907E-04    2.042057E-18    4.760340E-03    2.325887E-02    4.274697E-02    4.388730E-01    7.500000E-06    1.000000E+00
      275    1.3750E-02    7.748301E-04    1.454996E-18    3.780273E-03    2.370739E-02    4.372703E-02    4.723615E-01    7.500000E-06    1.000000E+00
      300    1.5000E-02    6.009081E-04    1.036706E-18    3.001984E-03    2.405523E-02    4.450532E-02    5.042833E-01    7.500000E-06    1.000000E+00
      325    1.6250E-02    4.660255E-04    7.386686E-19    2.383931E-03    2.432500E-02    4.512338E-02    5.347119E-01    7.500000E-06    1.000000E+00
      350    1.7500E-02    3.614192E-04    5.263124E-19    1.893123E-03    2.453421E-02    4.561418E-02    5.637170E-01    7.500000E-06    1.000000E+00
