iteration          time             xO2              xO          xE(s1)          xO(s1)
        0    0.0000E+00    1.082445E+00    1.202717E-01    7.500000E-06    1.000000E-15
       10    1.0000E-07    1.082445E+00    1.202717E-01    7.056776E-06    4.432240E-07
       20    2.0000E-07    1.082445E+00    1.202717E-01    6.630927E-06    8.690729E-07
       30    3.0000E-07    1.082445E+00    1.202717E-01    6.242047E-06    1.257953E-06
       40    4.0000E-07    1.082445E+00    1.202717E-01    5.885756E-06    1.614244E-06
       50    5.0000E-07    1.082445E+00    1.202717E-01    5.558335E-06    1.941665E-06
       60    6.0000E-07    1.082445E+00    1.202717E-01    5.256609E-06    2.243391E-06
       70    7.0000E-07    1.082445E+00    1.202717E-01    4.977850E-06    2.522150E-06
       80    8.0000E-07    1.082445E+00    1.202717E-01    4.719701E-06    2.780299E-06
       90    9.0000E-07    1.082445E+00    1.202717E-01    4.480116E-06    3.019884E-06
      100    1.0000E-06    1.082445E+00    1.202717E-01    4.257308E-06    3.242692E-06
      110    1.1000E-06    1.082445E+00    1.202717E-01    4.049710E-06    3.450290E-06
      120    1.2000E-06    1.082445E+00    1.202717E-01    3.855944E-06    3.644056E-06
      130    1.3000E-06    1.082445E+00    1.202717E-01    3.674792E-06    3.825208E-06
      140    1.4000E-06    1.082445E+00    1.202717E-01    3.505172E-06    3.994828E-06
      150    1.5000E-06    1.082445E+00    1.202717E-01    3.346123E-06    4.153877E-06
      160    1.6000E-06    1.082445E+00    1.202717E-01    3.196784E-06    4.303216E-06
      170    1.7000E-06    1.082445E+00    1.202717E-01    3.056385E-06    4.443615E-06
      180    1.8000E-06    1.082445E+00    1.202717E-01    2.924234E-06    4.575766E-06
      190    1.9000E-06    1.082445E+00    1.202717E-01    2.799708E-06    4.700292E-06
      200    2.0000E-06    1.082445E+00    1.202717E-01    2.682242E-06    4.817758E-06
      210    2.1000E-06    1.082445E+00    1.202717E-01    2.571327E-06    4.928673E-06
      220    2.2000E-06    1.082445E+00    1.202717E-01    2.466498E-06    5.033502E-06
      230    2.3000E-06    1.082445E+00    1.202717E-01    2.367334E-06    5.132666E-06
      240    2.4000E-06    1.082445E+00    1.202717E-01    2.273449E-06    5.226551E-06
      250    2.5000E-06    1.082445E+00    1.202717E-01    2.184493E-06    5.315507E-06
      260    2.6000E-06    1.082445E+00    1.202717E-01    2.100142E-06    5.399858E-06
      270    2.7000E-06    1.082445E+00    1.202717E-01    2.020102E-06    5.479898E-06
      280    2.8000E-06    1.082445E+00    1.202717E-01    1.944101E-06    5.555899E-06
      290    2.9000E-06    1.082445E+00    1.202717E-01    1.871887E-06    5.628113E-06
      300    3.0000E-06    1.082445E+00    1.202717E-01    1.803232E-06    5.696768E-06
      310    3.1000E-06    1.082445E+00    1.202717E-01    1.737920E-06    5.762080E-06
      320    3.2000E-06    1.082445E+00    1.202717E-01    1.675756E-06    5.824244E-06
      330    3.3000E-06    1.082445E+00    1.202717E-01    1.616557E-06    5.883443E-06
      340    3.4000E-06    1.082445E+00    1.202717E-01    1.560152E-06    5.939848E-06
      350    3.5000E-06    1.082445E+00    1.202717E-01    1.506384E-06    5.993616E-06
      360    3.6000E-06    1.082445E+00    1.202717E-01    1.455107E-06    6.044893E-06
      370    3.7000E-06    1.082445E+00    1.202717E-01    1.406184E-06    6.093816E-06
      380    3.8000E-06    1.082445E+00    1.202717E-01    1.359487E-06    6.140513E-06
      390    3.9000E-06    1.082445E+00    1.202717E-01    1.314898E-06    6.185102E-06
      400    4.0000E-06    1.082445E+00    1.202717E-01    1.272305E-06    6.227695E-06
