iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
        0    0.0000E+00    1.082445E+00    1.202717E-01    4.228600E-06    1.000000E-15    1.000000E-15
        1    1.0000E-09    1.082445E+00    1.202717E-01    4.001369E-06    3.125444E-08    1.959765E-07
        2    2.0000E-09    1.082445E+00    1.202717E-01    3.715215E-06    7.065744E-08    4.427280E-07
        3    3.0000E-09    1.082445E+00    1.202717E-01    3.426396E-06    1.104857E-07    6.917187E-07
        4    4.0000E-09    1.082445E+00    1.202717E-01    3.152772E-06    1.482852E-07    9.275433E-07
        5    5.0000E-09    1.082445E+00    1.202717E-01    2.899122E-06    1.833960E-07    1.146082E-06
        6    6.0000E-09    1.082445E+00    1.202717E-01    2.665842E-06    2.157595E-07    1.346999E-06
        7    7.0000E-09    1.082445E+00    1.202717E-01    2.451925E-06    2.455098E-07    1.531165E-06
        8    8.0000E-09    1.082445E+00    1.202717E-01    2.255979E-06    2.728337E-07    1.699787E-06
        9    9.0000E-09    1.082445E+00    1.202717E-01    2.076569E-06    2.979247E-07    1.854106E-06
       10    1.0000E-08    1.082445E+00    1.202717E-01    1.912324E-06    3.209672E-07    1.995309E-06
       11    1.1000E-08    1.082445E+00    1.202717E-01    1.761971E-06    3.421330E-07    2.124496E-06
       12    1.2000E-08    1.082445E+00    1.202717E-01    1.624338E-06    3.615800E-07    2.242682E-06
       13    1.3000E-08    1.082445E+00    1.202717E-01    1.498349E-06    3.794531E-07    2.350798E-06
       14    1.4000E-08    1.082445E+00    1.202717E-01    1.383019E-06    3.958850E-07    2.449696E-06
       15    1.5000E-08    1.082445E+00    1.202717E-01    1.277447E-06    4.109974E-07    2.540156E-06
       16    1.6000E-08    1.082445E+00    1.202717E-01    1.180806E-06    4.249016E-07    2.622892E-06
       17    1.7000E-08    1.082445E+00    1.202717E-01    1.092342E-06    4.376993E-07    2.698559E-06
       18    1.8000E-08    1.082445E+00    1.202717E-01    1.011362E-06    4.494840E-07    2.767754E-06
       19    1.9000E-08    1.082445E+00    1.202717E-01    9.372318E-07    4.603409E-07    2.831027E-06
       20    2.0000E-08    1.082445E+00    1.202717E-01    8.693730E-07    4.703482E-07    2.888879E-06
       21    2.1000E-08    1.082445E+00    1.202717E-01    8.072544E-07    4.795774E-07    2.941768E-06
       22    2.2000E-08    1.082445E+00    1.202717E-01    7.503903E-07    4.880941E-07    2.990116E-06
       23    2.3000E-08    1.082445E+00    1.202717E-01    6.983360E-07    4.959581E-07    3.034306E-06
       24    2.4000E-08    1.082445E+00    1.202717E-01    6.506845E-07    5.032244E-07    3.074691E-06
       25    2.5000E-08    1.082445E+00    1.202717E-01    6.070632E-07    5.099431E-07    3.111594E-06
       26    2.6000E-08    1.082445E+00    1.202717E-01    5.671311E-07    5.161604E-07    3.145309E-06
       27    2.7000E-08    1.082445E+00    1.202717E-01    5.305758E-07    5.219181E-07    3.176106E-06
       28    2.8000E-08    1.082445E+00    1.202717E-01    4.971118E-07    5.272550E-07    3.204233E-06
       29    2.9000E-08    1.082445E+00    1.202717E-01    4.664773E-07    5.322062E-07    3.229916E-06
       30    3.0000E-08    1.082445E+00    1.202717E-01    4.384330E-07    5.368041E-07    3.253363E-06
       31    3.1000E-08    1.082445E+00    1.202717E-01    4.127596E-07    5.410782E-07    3.274762E-06
       32    3.2000E-08    1.082445E+00    1.202717E-01    3.892566E-07    5.450555E-07    3.294288E-06
       33    3.3000E-08    1.082445E+00    1.202717E-01    3.677401E-07    5.487609E-07    3.312099E-06
       34    3.4000E-08    1.082445E+00    1.202717E-01    3.480423E-07    5.522171E-07    3.328341E-06
       35    3.5000E-08    1.082445E+00    1.202717E-01    3.300091E-07    5.554447E-07    3.343146E-06
       36    3.6000E-08    1.082445E+00    1.202717E-01    3.134996E-07    5.584627E-07    3.356638E-06
       37    3.7000E-08    1.082445E+00    1.202717E-01    2.983850E-07    5.612887E-07    3.368926E-06
       38    3.8000E-08    1.082445E+00    1.202717E-01    2.845473E-07    5.639385E-07    3.380114E-06
       39    3.9000E-08    1.082445E+00    1.202717E-01    2.718783E-07    5.664266E-07    3.390295E-06
       40    4.0000E-08    1.082445E+00    1.202717E-01    2.602791E-07    5.687665E-07    3.399554E-06
       41    4.1000E-08    1.082445E+00    1.202717E-01    2.496594E-07    5.709704E-07    3.407970E-06
       42    4.2000E-08    1.082445E+00    1.202717E-01    2.399361E-07    5.730494E-07    3.415615E-06
       43    4.3000E-08    1.082445E+00    1.202717E-01    2.310334E-07    5.750138E-07    3.422553E-06
       44    4.4000E-08    1.082445E+00    1.202717E-01    2.228819E-07    5.768730E-07    3.428845E-06
       45    4.5000E-08    1.082445E+00    1.202717E-01    2.154180E-07    5.786355E-07    3.434547E-06
       46    4.6000E-08    1.082445E+00    1.202717E-01    2.085835E-07    5.803093E-07    3.439707E-06
       47    4.7000E-08    1.082445E+00    1.202717E-01    2.023253E-07    5.819014E-07    3.444373E-06
       48    4.8000E-08    1.082445E+00    1.202717E-01    1.965945E-07    5.834186E-07    3.448587E-06
       49    4.9000E-08    1.082445E+00    1.202717E-01    1.913465E-07    5.848668E-07    3.452387E-06
       50    5.0000E-08    1.082445E+00    1.202717E-01    1.865404E-07    5.862516E-07    3.455808E-06
       51    5.1000E-08    1.082445E+00    1.202717E-01    1.821390E-07    5.875780E-07    3.458883E-06
       52    5.2000E-08    1.082445E+00    1.202717E-01    1.781078E-07    5.888506E-07    3.461642E-06
       53    5.3000E-08    1.082445E+00    1.202717E-01    1.744157E-07    5.900738E-07    3.464111E-06
       54    5.4000E-08    1.082445E+00    1.202717E-01    1.710340E-07    5.912513E-07    3.466315E-06
       55    5.5000E-08    1.082445E+00    1.202717E-01    1.679363E-07    5.923868E-07    3.468277E-06
       56    5.6000E-08    1.082445E+00    1.202717E-01    1.650986E-07    5.934834E-07    3.470018E-06
       57    5.7000E-08    1.082445E+00    1.202717E-01    1.624990E-07    5.945443E-07    3.471557E-06
       58    5.8000E-08    1.082445E+00    1.202717E-01    1.601174E-07    5.955720E-07    3.472911E-06
       59    5.9000E-08    1.082445E+00    1.202717E-01    1.579352E-07    5.965692E-07    3.474096E-06
       60    6.0000E-08    1.082445E+00    1.202717E-01    1.559357E-07    5.975381E-07    3.475126E-06
       61    6.1000E-08    1.082445E+00    1.202717E-01    1.541033E-07    5.984808E-07    3.476016E-06
       62    6.2000E-08    1.082445E+00    1.202717E-01    1.524240E-07    5.993993E-07    3.476777E-06
       63    6.3000E-08    1.082445E+00    1.202717E-01    1.508847E-07    6.002952E-07    3.477420E-06
       64    6.4000E-08    1.082445E+00    1.202717E-01    1.494737E-07    6.011702E-07    3.477956E-06
       65    6.5000E-08    1.082445E+00    1.202717E-01    1.481801E-07    6.020259E-07    3.478394E-06
       66    6.6000E-08    1.082445E+00    1.202717E-01    1.469940E-07    6.028635E-07    3.478742E-06
       67    6.7000E-08    1.082445E+00    1.202717E-01    1.459063E-07    6.036843E-07    3.479009E-06
       68    6.8000E-08    1.082445E+00    1.202717E-01    1.449087E-07    6.044894E-07    3.479202E-06
       69    6.9000E-08    1.082445E+00    1.202717E-01    1.439935E-07    6.052799E-07    3.479327E-06
       70    7.0000E-08    1.082445E+00    1.202717E-01    1.431539E-07    6.060567E-07    3.479389E-06
       71    7.1000E-08    1.082445E+00    1.202717E-01    1.423833E-07    6.068208E-07    3.479396E-06
       72    7.2000E-08    1.082445E+00    1.202717E-01    1.416761E-07    6.075729E-07    3.479351E-06
