SRModel
   version:     3.09.12
   written by:  Joe Marschall   (jochen.marschall@sri.com)
                Matthew MacLean (maclean@cubrc.org)


---Initial Conditions-----------------------------
      Wall Tmpr   =    3.0000E+02 K
      Pressure    =    3.0000E+03 Pa
      xO2         =    1.0824E+00 mol/m^3
      xO          =    1.2027E-01 mol/m^3
      xE(s1)      =    7.5000E-06 mol/m^2
      xO(s1)      =    1.0000E-15 mol/m^2

---Pressure/Temperature Scan----------------------
             Pi             Tw         Volume             Pf          resL2            xO2             xO         xE(s1)         xO(s1)            gO2             gO          wO2_1          wO2_2          wO2_3           wO_1           wO_2           wO_3       wE(s1)_1       wE(s1)_2       wE(s1)_3       wO(s1)_1       wO(s1)_2       wO(s1)_3
   3.000000E+03   3.000000E+02   1.000000E+00   3.000000E+03   5.754105E-25   1.082445E+00   1.202717E-01   4.063089E-09   7.495937E-06  -4.256352E-06   5.417452E-05   0.000000E+00   5.131654E-04  -1.072639E-22  -5.131654E-04  -5.131654E-04  -0.000000E+00  -5.131654E-04   5.131654E-04  -2.145277E-22   5.131654E-04  -5.131654E-04   2.145277E-22
   4.000000E+03   4.000000E+02   1.000000E+00   4.000000E+03   1.127089E-24   1.082445E+00   1.202717E-01   1.000603E-08   7.489994E-06  -1.048197E-05   1.334137E-04   0.000000E+00   1.459258E-03  -1.531876E-17  -1.459258E-03  -1.459258E-03  -0.000000E+00  -1.459258E-03   1.459258E-03  -3.063751E-17   1.459258E-03  -1.459258E-03   3.063751E-17
   5.000000E+03   5.000000E+02   1.000000E+00   5.000000E+03   2.256924E-24   1.082445E+00   1.202717E-01   1.717496E-08   7.482825E-06  -1.799190E-05   2.289995E-04   0.000000E+00   2.800408E-03  -2.102602E-14  -2.800408E-03  -2.800408E-03  -0.000000E+00  -2.800408E-03   2.800408E-03  -4.205204E-14   2.800408E-03  -2.800408E-03   4.205204E-14
   6.000000E+03   6.000000E+02   1.000000E+00   6.000000E+03   2.240939E-24   1.082445E+00   1.202717E-01   2.461296E-08   7.475387E-06  -2.578369E-05   3.281728E-04   0.000000E+00   4.396226E-03  -2.764083E-12  -4.396226E-03  -4.396226E-03  -0.000000E+00  -4.396226E-03   4.396226E-03  -5.528167E-12   4.396226E-03  -4.396226E-03   5.528167E-12
   7.000000E+03   7.000000E+02   1.000000E+00   7.000000E+03   4.569131E-24   1.082445E+00   1.202717E-01   3.181805E-08   7.468182E-06  -3.333150E-05   4.242407E-04   0.000000E+00   6.138512E-03  -9.390831E-11  -6.138512E-03  -6.138512E-03  -0.000000E+00  -6.138512E-03   6.138512E-03  -1.878166E-10   6.138512E-03  -6.138512E-03   1.878166E-10
   8.000000E+03   8.000000E+02   1.000000E+00   8.000000E+03   4.376805E-24   1.082445E+00   1.202717E-01   3.856801E-08   7.461432E-06  -4.040252E-05   5.142402E-04   0.000000E+00   7.954498E-03  -1.359371E-09  -7.954496E-03  -7.954498E-03  -0.000000E+00  -7.954496E-03   7.954498E-03  -2.718742E-09   7.954496E-03  -7.954498E-03   2.718742E-09
   9.000000E+03   9.000000E+02   1.000000E+00   9.000000E+03   4.581298E-24   1.082445E+00   1.202717E-01   4.478740E-08   7.455213E-06  -4.691779E-05   5.971660E-04   0.000000E+00   9.797574E-03  -1.108610E-08  -9.797552E-03  -9.797574E-03  -0.000000E+00  -9.797552E-03   9.797574E-03  -2.217220E-08   9.797552E-03  -9.797574E-03   2.217220E-08
   1.000000E+04   1.000000E+03   1.000000E+00   1.000000E+04   4.375385E-24   1.082445E+00   1.202717E-01   5.047244E-08   7.449528E-06  -5.287347E-05   6.729694E-04   0.000000E+00   1.163856E-02  -6.009264E-08  -1.163844E-02  -1.163856E-02  -0.000000E+00  -1.163844E-02   1.163856E-02  -1.201853E-07   1.163844E-02  -1.163856E-02   1.201853E-07
   1.100000E+04   1.100000E+03   1.000000E+00   1.100000E+04   4.403217E-24   1.082445E+00   1.202717E-01   5.565161E-08   7.444348E-06  -5.829974E-05   7.420345E-04   0.000000E+00   1.345953E-02  -2.361265E-07  -1.345905E-02  -1.345953E-02  -0.000000E+00  -1.345905E-02   1.345953E-02  -4.722529E-07   1.345905E-02  -1.345953E-02   4.722529E-07
   1.200000E+04   1.200000E+03   1.000000E+00   1.200000E+04   8.957594E-24   1.082445E+00   1.202717E-01   6.036618E-08   7.439634E-06  -6.324023E-05   8.049168E-04   0.000000E+00   1.524973E-02  -6.563071E-07  -1.524841E-02  -1.524973E-02  -0.000000E+00  -1.524841E-02   1.524973E-02  -1.312614E-06   1.524841E-02  -1.524973E-02   1.312614E-06
   1.300000E+04   1.300000E+03   1.000000E+00   1.300000E+04   9.107891E-24   1.082445E+00   1.202717E-01   6.466614E-08   7.435334E-06  -6.774468E-05   8.622491E-04   0.000000E+00   1.700297E-02  -7.319951E-07  -1.700151E-02  -1.700297E-02  -0.000000E+00  -1.700151E-02   1.700297E-02  -1.463990E-06   1.700151E-02  -1.700297E-02   1.463990E-06
   1.400000E+04   1.400000E+03   1.000000E+00   1.400000E+04   8.657091E-24   1.082445E+00   1.202717E-01   6.864045E-08   7.431360E-06  -7.188140E-05   9.149008E-04   0.000000E+00   1.871587E-02   5.596445E-06  -1.872706E-02  -1.871587E-02   0.000000E+00  -1.872706E-02   1.871587E-02   1.119289E-05   1.872706E-02  -1.871587E-02  -1.119289E-05
   1.500000E+04   1.500000E+03   1.000000E+00   1.500000E+04   8.668349E-24   1.082445E+00   1.202717E-01   7.256262E-08   7.427437E-06  -7.580771E-05   9.648746E-04   0.000000E+00   2.038623E-02   5.082033E-05  -2.048787E-02  -2.038623E-02   0.000000E+00  -2.048787E-02   2.038623E-02   1.016407E-04   2.048787E-02  -2.038623E-02  -1.016407E-04
   1.600000E+04   1.600000E+03   1.000000E+00   1.600000E+04   8.786372E-24   1.082445E+00   1.202717E-01   7.737241E-08   7.422628E-06  -8.000254E-05   1.018266E-03   0.000000E+00   2.201071E-02   2.645621E-04  -2.253983E-02  -2.201071E-02   0.000000E+00  -2.253983E-02   2.201071E-02   5.291242E-04   2.253983E-02  -2.201071E-02  -5.291242E-04
   1.700000E+04   1.700000E+03   1.000000E+00   1.700000E+04   8.688018E-24   1.082445E+00   1.202717E-01   8.595041E-08   7.414050E-06  -8.587041E-05   1.092952E-03   0.000000E+00   2.357926E-02   1.065645E-03  -2.571055E-02  -2.357926E-02   0.000000E+00  -2.571055E-02   2.357926E-02   2.131289E-03   2.571055E-02  -2.357926E-02  -2.131289E-03
   1.800000E+04   1.800000E+03   1.000000E+00   1.800000E+04   8.677523E-24   1.082445E+00   1.202717E-01   1.058797E-07   7.394120E-06  -9.701718E-05   1.234827E-03   0.000000E+00   2.506239E-02   3.588896E-03  -3.224018E-02  -2.506239E-02   0.000000E+00  -3.224018E-02   2.506239E-02   7.177792E-03   3.224018E-02  -2.506239E-02  -7.177792E-03
   1.900000E+04   1.900000E+03   1.000000E+00   1.900000E+04   1.803712E-23   1.082445E+00   1.202717E-01   1.540981E-07   7.345902E-06  -1.213034E-04   1.543940E-03   0.000000E+00   2.638520E-02   1.041998E-02  -4.722517E-02  -2.638520E-02   0.000000E+00  -4.722517E-02   2.638520E-02   2.083997E-02   4.722517E-02  -2.638520E-02  -2.083997E-02
   2.000000E+04   2.000000E+03   1.000000E+00   2.000000E+04   3.501652E-23   1.082445E+00   1.202717E-01   2.611152E-07   7.238885E-06  -1.723532E-04   2.193699E-03   0.000000E+00   2.738943E-02   2.626353E-02  -7.991649E-02  -2.738943E-02   0.000000E+00  -7.991649E-02   2.738943E-02   5.252706E-02   7.991649E-02  -2.738943E-02  -5.252706E-02
---Mole Fraction Scan----------------------
