SRModel
   version:     3.09.12
   written by:  Joe Marschall   (jochen.marschall@sri.com)
                Matthew MacLean (maclean@cubrc.org)

WARNING CODE   3: E-R reaction not of form A+[B]<-->AB+[] for reaction #   3

---Initial Conditions-----------------------------
      Wall Tmpr   =    3.0000E+02 K
      Pressure    =    3.0000E+03 Pa
      xO2         =    1.0824E+00 mol/m^3
      xO          =    1.2027E-01 mol/m^3
      xE(s1)      =    4.2286E-06 mol/m^2
      xO(s1)      =    1.0000E-15 mol/m^2
      xO2(s1)     =    1.0000E-15 mol/m^2

---Pressure/Temperature Scan----------------------
             Pi             Tw         Volume             Pf          resL2            xO2             xO         xE(s1)         xO(s1)        xO2(s1)            gO2             gO          wO2_1          wO2_2          wO2_3          wO2_4          wO2_5           wO_1           wO_2           wO_3           wO_4           wO_5       wE(s1)_1       wE(s1)_2       wE(s1)_3       wE(s1)_4       wE(s1)_5       wO(s1)_1       wO(s1)_2       wO(s1)_3       wO(s1)_4       wO(s1)_5      wO2(s1)_1      wO2(s1)_2      wO2(s1)_3      wO2(s1)_4      wO2(s1)_5
   3.000000E+03   3.000000E+02   1.000000E+00   3.000000E+03   2.914548E-25   1.082445E+00   1.202717E-01   9.731761E-18   2.287814E-09   4.341563E-06  -2.279371E-07   2.901166E-06   0.000000E+00   3.210692E-10   0.000000E+00   2.748111E-05  -2.774691E-10  -4.360007E-11  -3.210692E-10  -2.748083E-05  -2.748111E-05   0.000000E+00  -4.360007E-11   3.210692E-10   0.000000E+00   0.000000E+00  -2.774691E-10   4.360007E-11  -3.210692E-10  -2.748083E-05   2.748111E-05   0.000000E+00   0.000000E+00   0.000000E+00   2.748083E-05  -2.748111E-05   2.774691E-10
   4.000000E+03   4.000000E+02   1.000000E+00   4.000000E+03   1.158385E-24   1.082445E+00   1.202717E-01   2.068832E-15   1.009144E-08   4.326550E-06  -4.243038E-06   5.400505E-05   0.000000E+00   7.881371E-08   0.000000E+00   5.906882E-04  -6.811108E-08  -1.070262E-08  -7.881371E-08  -5.906200E-04  -5.906882E-04   0.000000E+00  -1.070262E-08   7.881371E-08   0.000000E+00   0.000000E+00  -6.811108E-08   1.070262E-08  -7.881371E-08  -5.906200E-04   5.906882E-04   0.000000E+00   0.000000E+00   0.000000E+00   5.906200E-04  -5.906882E-04   6.811108E-08
   5.000000E+03   5.000000E+02   1.000000E+00   5.000000E+03   2.242319E-24   1.082445E+00   1.202717E-01   5.137863E-14   2.450248E-08   4.304421E-06  -2.445070E-05   3.112066E-04   0.000000E+00   2.188337E-06   0.000000E+00   3.805412E-03  -1.891168E-06  -2.971684E-07  -2.188337E-06  -3.803520E-03  -3.805412E-03   0.000000E+00  -2.971684E-07   2.188337E-06   0.000000E+00   0.000000E+00  -1.891168E-06   2.971684E-07  -2.188337E-06  -3.803520E-03   3.805412E-03   0.000000E+00   0.000000E+00   0.000000E+00   3.803520E-03  -3.805412E-03   1.891168E-06
   6.000000E+03   6.000000E+02   1.000000E+00   6.000000E+03   4.490751E-24   1.082445E+00   1.202717E-01   4.366330E-13   4.419199E-08   4.285198E-06  -7.851398E-05   9.993198E-04   0.000000E+00   2.037224E-05   0.000000E+00   1.338419E-02  -1.760576E-05  -2.766478E-06  -2.037224E-05  -1.336658E-02  -1.338419E-02   0.000000E+00  -2.766478E-06   2.037224E-05   0.000000E+00   0.000000E+00  -1.760576E-05   2.766478E-06  -2.037224E-05  -1.336658E-02   1.338419E-02   0.000000E+00   0.000000E+00   0.000000E+00   1.336658E-02  -1.338419E-02   1.760576E-05
   7.000000E+03   7.000000E+02   1.000000E+00   7.000000E+03   8.474976E-24   1.082445E+00   1.202717E-01   2.011390E-12   6.727687E-08   4.270435E-06  -1.806274E-04   2.299012E-03   0.000000E+00   1.013659E-04   0.000000E+00   3.325157E-02  -8.760077E-05  -1.376513E-05  -1.013659E-04  -3.316397E-02  -3.325157E-02   0.000000E+00  -1.376513E-05   1.013659E-04   0.000000E+00   0.000000E+00  -8.760077E-05   1.376513E-05  -1.013659E-04  -3.316397E-02   3.325157E-02   0.000000E+00   0.000000E+00   0.000000E+00   3.316397E-02  -3.325157E-02   8.760077E-05
   8.000000E+03   8.000000E+02   1.000000E+00   8.000000E+03   7.498011E-24   1.082445E+00   1.202717E-01   6.307331E-12   9.195424E-08   4.251235E-06  -3.368087E-04   4.286875E-03   0.000000E+00   3.398106E-04   0.000000E+00   6.626515E-02  -2.936655E-04  -4.614512E-05  -3.398106E-04  -6.597148E-02  -6.626515E-02   0.000000E+00  -4.614512E-05   3.398106E-04   0.000000E+00   0.000000E+00  -2.936655E-04   4.614512E-05  -3.398106E-04  -6.597148E-02   6.626515E-02   0.000000E+00   0.000000E+00   0.000000E+00   6.597148E-02  -6.626515E-02   2.936655E-04
   9.000000E+03   9.000000E+02   1.000000E+00   9.000000E+03   6.680524E-24   1.082445E+00   1.202717E-01   1.530681E-11   1.169765E-07   4.229843E-06  -5.460543E-04   6.950136E-03   0.000000E+00   8.746621E-04   0.000000E+00   1.139105E-01  -7.558827E-04  -1.187794E-04  -8.746621E-04  -1.131546E-01  -1.139105E-01   0.000000E+00  -1.187794E-04   8.746621E-04   0.000000E+00   0.000000E+00  -7.558827E-04   1.187794E-04  -8.746621E-04  -1.131546E-01   1.139105E-01   0.000000E+00   0.000000E+00   0.000000E+00   1.131546E-01  -1.139105E-01   7.558827E-04
   1.000000E+04   1.000000E+03   1.000000E+00   1.000000E+04   1.317070E-23   1.082445E+00   1.202717E-01   3.106337E-11   1.415316E-07   4.207640E-06  -8.028546E-04   1.021867E-02   0.000000E+00   1.870138E-03   0.000000E+00   1.764701E-01  -1.616050E-03  -2.540877E-04  -1.870138E-03  -1.748541E-01  -1.764701E-01   0.000000E+00  -2.540877E-04   1.870138E-03   0.000000E+00   0.000000E+00  -1.616050E-03   2.540877E-04  -1.870138E-03  -1.748541E-01   1.764701E-01   0.000000E+00   0.000000E+00   0.000000E+00   1.748541E-01  -1.764701E-01   1.616050E-03
   1.100000E+04   1.100000E+03   1.000000E+00   1.100000E+04   1.431140E-23   1.082445E+00   1.202717E-01   5.558585E-11   1.651343E-07   4.185481E-06  -1.099585E-03   1.399544E-02   0.000000E+00   3.492635E-03   0.000000E+00   2.533775E-01  -3.015770E-03  -4.768653E-04  -3.492635E-03  -2.503617E-01  -2.533775E-01   0.000000E+00  -4.768653E-04   3.492635E-03   0.000000E+00   0.000000E+00  -3.015770E-03   4.768653E-04  -3.492635E-03  -2.503617E-01   2.533775E-01   0.000000E+00   0.000000E+00   0.000000E+00   2.503617E-01  -2.533775E-01   3.015770E-03
   1.200000E+04   1.200000E+03   1.000000E+00   1.200000E+04   1.166465E-23   1.082445E+00   1.202717E-01   9.277369E-11   1.875325E-07   4.163853E-06  -1.428202E-03   1.817805E-02   0.000000E+00   5.892293E-03   0.000000E+00   3.435500E-01  -5.061007E-03  -8.312861E-04  -5.892293E-03  -3.384890E-01  -3.435500E-01   0.000000E+00  -8.312861E-04   5.892293E-03   0.000000E+00   0.000000E+00  -5.061007E-03   8.312861E-04  -5.892293E-03  -3.384890E-01   3.435500E-01   0.000000E+00   0.000000E+00   0.000000E+00   3.384890E-01  -3.435500E-01   5.061007E-03
