variables = iteration          time             xO2              xO          xE(s1)          xO(s1)
zone f=point t=Marschall
        0    0.0000E+00    1.082445E+00    1.202717E-01    7.500000E-06    1.000000E-15
        1    1.0000E-09    1.082445E+00    1.202717E-01    7.496745E-06    3.255428E-09
        2    2.0000E-09    1.082445E+00    1.202717E-01    7.492407E-06    7.593162E-09
        3    3.0000E-09    1.082445E+00    1.202717E-01    7.487711E-06    1.228860E-08
        4    4.0000E-09    1.082445E+00    1.202717E-01    7.482900E-06    1.710012E-08
        5    5.0000E-09    1.082445E+00    1.202717E-01    7.478053E-06    2.194717E-08
        6    6.0000E-09    1.082445E+00    1.202717E-01    7.473197E-06    2.680291E-08
        7    7.0000E-09    1.082445E+00    1.202717E-01    7.468342E-06    3.165836E-08
        8    8.0000E-09    1.082445E+00    1.202716E-01    7.463489E-06    3.651056E-08
        9    9.0000E-09    1.082445E+00    1.202716E-01    7.458641E-06    4.135851E-08
       10    1.0000E-08    1.082445E+00    1.202716E-01    7.453798E-06    4.620189E-08
       11    1.1000E-08    1.082445E+00    1.202716E-01    7.448959E-06    5.104060E-08
       12    1.2000E-08    1.082445E+00    1.202716E-01    7.444125E-06    5.587460E-08
       13    1.3000E-08    1.082445E+00    1.202716E-01    7.439296E-06    6.070388E-08
       14    1.4000E-08    1.082445E+00    1.202716E-01    7.434472E-06    6.552846E-08
       15    1.5000E-08    1.082445E+00    1.202716E-01    7.429652E-06    7.034834E-08
       16    1.6000E-08    1.082445E+00    1.202716E-01    7.424836E-06    7.516352E-08
       17    1.7000E-08    1.082445E+00    1.202716E-01    7.420026E-06    7.997400E-08
       18    1.8000E-08    1.082445E+00    1.202716E-01    7.415220E-06    8.477981E-08
       19    1.9000E-08    1.082445E+00    1.202716E-01    7.410419E-06    8.958093E-08
       20    2.0000E-08    1.082445E+00    1.202716E-01    7.405623E-06    9.437738E-08
       21    2.1000E-08    1.082445E+00    1.202716E-01    7.400831E-06    9.916917E-08
       22    2.2000E-08    1.082445E+00    1.202716E-01    7.396044E-06    1.039563E-07
       23    2.3000E-08    1.082445E+00    1.202716E-01    7.391261E-06    1.087388E-07
       24    2.4000E-08    1.082445E+00    1.202716E-01    7.386483E-06    1.135166E-07
       25    2.5000E-08    1.082445E+00    1.202716E-01    7.381710E-06    1.182898E-07
       26    2.6000E-08    1.082445E+00    1.202716E-01    7.376942E-06    1.230584E-07
       27    2.7000E-08    1.082445E+00    1.202716E-01    7.372178E-06    1.278223E-07
       28    2.8000E-08    1.082445E+00    1.202716E-01    7.367418E-06    1.325816E-07
       29    2.9000E-08    1.082445E+00    1.202716E-01    7.362664E-06    1.373363E-07
       30    3.0000E-08    1.082445E+00    1.202716E-01    7.357914E-06    1.420864E-07
       31    3.1000E-08    1.082445E+00    1.202716E-01    7.353168E-06    1.468319E-07
       32    3.2000E-08    1.082445E+00    1.202716E-01    7.348427E-06    1.515728E-07
       33    3.3000E-08    1.082445E+00    1.202716E-01    7.343691E-06    1.563091E-07
       34    3.4000E-08    1.082445E+00    1.202716E-01    7.338959E-06    1.610408E-07
       35    3.5000E-08    1.082445E+00    1.202716E-01    7.334232E-06    1.657679E-07
       36    3.6000E-08    1.082445E+00    1.202716E-01    7.329509E-06    1.704905E-07
       37    3.7000E-08    1.082445E+00    1.202716E-01    7.324791E-06    1.752085E-07
       38    3.8000E-08    1.082445E+00    1.202716E-01    7.320078E-06    1.799220E-07
       39    3.9000E-08    1.082445E+00    1.202716E-01    7.315369E-06    1.846309E-07
       40    4.0000E-08    1.082445E+00    1.202716E-01    7.310665E-06    1.893353E-07
       41    4.1000E-08    1.082445E+00    1.202716E-01    7.305965E-06    1.940351E-07
       42    4.2000E-08    1.082445E+00    1.202716E-01    7.301270E-06    1.987304E-07
       43    4.3000E-08    1.082445E+00    1.202716E-01    7.296579E-06    2.034212E-07
       44    4.4000E-08    1.082445E+00    1.202716E-01    7.291893E-06    2.081074E-07
       45    4.5000E-08    1.082445E+00    1.202716E-01    7.287211E-06    2.127891E-07
       46    4.6000E-08    1.082445E+00    1.202716E-01    7.282534E-06    2.174664E-07
       47    4.7000E-08    1.082445E+00    1.202716E-01    7.277861E-06    2.221391E-07
       48    4.8000E-08    1.082445E+00    1.202716E-01    7.273193E-06    2.268073E-07
       49    4.9000E-08    1.082445E+00    1.202716E-01    7.268529E-06    2.314711E-07
       50    5.0000E-08    1.082445E+00    1.202716E-01    7.263870E-06    2.361304E-07
       51    5.1000E-08    1.082445E+00    1.202716E-01    7.259215E-06    2.407851E-07
       52    5.2000E-08    1.082445E+00    1.202716E-01    7.254565E-06    2.454355E-07
       53    5.3000E-08    1.082445E+00    1.202716E-01    7.249919E-06    2.500813E-07
       54    5.4000E-08    1.082445E+00    1.202716E-01    7.245277E-06    2.547227E-07
       55    5.5000E-08    1.082445E+00    1.202716E-01    7.240640E-06    2.593597E-07
       56    5.6000E-08    1.082445E+00    1.202716E-01    7.236008E-06    2.639922E-07
       57    5.7000E-08    1.082445E+00    1.202715E-01    7.231380E-06    2.686202E-07
       58    5.8000E-08    1.082445E+00    1.202715E-01    7.226756E-06    2.732438E-07
       59    5.9000E-08    1.082445E+00    1.202715E-01    7.222137E-06    2.778630E-07
       60    6.0000E-08    1.082445E+00    1.202715E-01    7.217522E-06    2.824778E-07
       61    6.1000E-08    1.082445E+00    1.202715E-01    7.212912E-06    2.870882E-07
       62    6.2000E-08    1.082445E+00    1.202715E-01    7.208306E-06    2.916941E-07
       63    6.3000E-08    1.082445E+00    1.202715E-01    7.203704E-06    2.962957E-07
       64    6.4000E-08    1.082445E+00    1.202715E-01    7.199107E-06    3.008929E-07
       65    6.5000E-08    1.082445E+00    1.202715E-01    7.194514E-06    3.054856E-07
       66    6.6000E-08    1.082445E+00    1.202715E-01    7.189926E-06    3.100740E-07
       67    6.7000E-08    1.082445E+00    1.202715E-01    7.185342E-06    3.146580E-07
       68    6.8000E-08    1.082445E+00    1.202715E-01    7.180762E-06    3.192376E-07
       69    6.9000E-08    1.082445E+00    1.202715E-01    7.176187E-06    3.238129E-07
       70    7.0000E-08    1.082445E+00    1.202715E-01    7.171616E-06    3.283838E-07
       71    7.1000E-08    1.082445E+00    1.202715E-01    7.167050E-06    3.329503E-07
       72    7.2000E-08    1.082445E+00    1.202715E-01    7.162487E-06    3.375125E-07
       73    7.3000E-08    1.082445E+00    1.202715E-01    7.157930E-06    3.420704E-07
       74    7.4000E-08    1.082445E+00    1.202715E-01    7.153376E-06    3.466239E-07
       75    7.5000E-08    1.082445E+00    1.202715E-01    7.148827E-06    3.511730E-07
       76    7.6000E-08    1.082445E+00    1.202715E-01    7.144282E-06    3.557179E-07
       77    7.7000E-08    1.082445E+00    1.202715E-01    7.139742E-06    3.602584E-07
       78    7.8000E-08    1.082445E+00    1.202715E-01    7.135205E-06    3.647946E-07
       79    7.9000E-08    1.082445E+00    1.202715E-01    7.130673E-06    3.693265E-07
       80    8.0000E-08    1.082445E+00    1.202715E-01    7.126146E-06    3.738542E-07
       81    8.1000E-08    1.082445E+00    1.202715E-01    7.121623E-06    3.783775E-07
       82    8.2000E-08    1.082445E+00    1.202715E-01    7.117104E-06    3.828965E-07
       83    8.3000E-08    1.082445E+00    1.202715E-01    7.112589E-06    3.874112E-07
       84    8.4000E-08    1.082445E+00    1.202715E-01    7.108078E-06    3.919217E-07
       85    8.5000E-08    1.082445E+00    1.202715E-01    7.103572E-06    3.964278E-07
       86    8.6000E-08    1.082445E+00    1.202715E-01    7.099070E-06    4.009298E-07
       87    8.7000E-08    1.082445E+00    1.202715E-01    7.094573E-06    4.054274E-07
       88    8.8000E-08    1.082445E+00    1.202715E-01    7.090079E-06    4.099208E-07
       89    8.9000E-08    1.082445E+00    1.202715E-01    7.085590E-06    4.144099E-07
       90    9.0000E-08    1.082445E+00    1.202715E-01    7.081105E-06    4.188948E-07
       91    9.1000E-08    1.082445E+00    1.202715E-01    7.076624E-06    4.233755E-07
       92    9.2000E-08    1.082445E+00    1.202715E-01    7.072148E-06    4.278519E-07
       93    9.3000E-08    1.082445E+00    1.202715E-01    7.067676E-06    4.323241E-07
       94    9.4000E-08    1.082445E+00    1.202715E-01    7.063208E-06    4.367921E-07
       95    9.5000E-08    1.082445E+00    1.202715E-01    7.058744E-06    4.412559E-07
       96    9.6000E-08    1.082445E+00    1.202715E-01    7.054285E-06    4.457154E-07
       97    9.7000E-08    1.082445E+00    1.202715E-01    7.049829E-06    4.501707E-07
       98    9.8000E-08    1.082445E+00    1.202715E-01    7.045378E-06    4.546219E-07
       99    9.9000E-08    1.082445E+00    1.202715E-01    7.040931E-06    4.590688E-07
      100    1.0000E-07    1.082445E+00    1.202715E-01    7.036488E-06    4.635116E-07
       20    2.0000E-07    1.082445E+00    1.202713E-01    6.630928E-06    8.690723E-07
       30    3.0000E-07    1.082446E+00    1.202711E-01    6.242049E-06    1.257951E-06
       40    4.0000E-07    1.082446E+00    1.202709E-01    5.885758E-06    1.614242E-06
       50    5.0000E-07    1.082446E+00    1.202708E-01    5.558338E-06    1.941662E-06
       60    6.0000E-07    1.082446E+00    1.202706E-01    5.256613E-06    2.243387E-06
       70    7.0000E-07    1.082446E+00    1.202705E-01    4.977855E-06    2.522145E-06
       80    8.0000E-07    1.082446E+00    1.202703E-01    4.719708E-06    2.780292E-06
       90    9.0000E-07    1.082446E+00    1.202702E-01    4.480123E-06    3.019877E-06
      100    1.0000E-06    1.082447E+00    1.202701E-01    4.257316E-06    3.242684E-06
      110    1.1000E-06    1.082447E+00    1.202700E-01    4.049719E-06    3.450281E-06
      120    1.2000E-06    1.082447E+00    1.202698E-01    3.855955E-06    3.644045E-06
      130    1.3000E-06    1.082447E+00    1.202697E-01    3.674804E-06    3.825196E-06
      140    1.4000E-06    1.082447E+00    1.202696E-01    3.505185E-06    3.994815E-06
      150    1.5000E-06    1.082447E+00    1.202695E-01    3.346136E-06    4.153864E-06
      160    1.6000E-06    1.082447E+00    1.202694E-01    3.196798E-06    4.303202E-06
      170    1.7000E-06    1.082447E+00    1.202693E-01    3.056400E-06    4.443600E-06
      180    1.8000E-06    1.082447E+00    1.202693E-01    2.924251E-06    4.575749E-06
      190    1.9000E-06    1.082447E+00    1.202692E-01    2.799725E-06    4.700275E-06
      200    2.0000E-06    1.082448E+00    1.202691E-01    2.682260E-06    4.817740E-06
      210    2.1000E-06    1.082448E+00    1.202690E-01    2.571345E-06    4.928655E-06
      220    2.2000E-06    1.082448E+00    1.202689E-01    2.466517E-06    5.033483E-06
      230    2.3000E-06    1.082448E+00    1.202689E-01    2.367354E-06    5.132646E-06
      240    2.4000E-06    1.082448E+00    1.202688E-01    2.273470E-06    5.226530E-06
      250    2.5000E-06    1.082448E+00    1.202687E-01    2.184514E-06    5.315486E-06
      260    2.6000E-06    1.082448E+00    1.202687E-01    2.100164E-06    5.399836E-06
      270    2.7000E-06    1.082448E+00    1.202686E-01    2.020124E-06    5.479876E-06
      280    2.8000E-06    1.082448E+00    1.202686E-01    1.944123E-06    5.555877E-06
      290    2.9000E-06    1.082448E+00    1.202685E-01    1.871910E-06    5.628090E-06
      300    3.0000E-06    1.082448E+00    1.202684E-01    1.803255E-06    5.696745E-06
      310    3.1000E-06    1.082448E+00    1.202684E-01    1.737944E-06    5.762056E-06
      320    3.2000E-06    1.082448E+00    1.202683E-01    1.675780E-06    5.824220E-06
      330    3.3000E-06    1.082448E+00    1.202683E-01    1.616581E-06    5.883419E-06
      340    3.4000E-06    1.082448E+00    1.202682E-01    1.560176E-06    5.939824E-06
      350    3.5000E-06    1.082448E+00    1.202682E-01    1.506408E-06    5.993592E-06
      360    3.6000E-06    1.082448E+00    1.202682E-01    1.455131E-06    6.044869E-06
      370    3.7000E-06    1.082449E+00    1.202681E-01    1.406208E-06    6.093792E-06
      380    3.8000E-06    1.082449E+00    1.202681E-01    1.359512E-06    6.140488E-06
      390    3.9000E-06    1.082449E+00    1.202680E-01    1.314923E-06    6.185077E-06
      400    4.0000E-06    1.082449E+00    1.202680E-01    1.272330E-06    6.227670E-06
      410    4.1000E-06    1.082449E+00    1.202679E-01    1.231630E-06    6.268370E-06
      420    4.2000E-06    1.082449E+00    1.202679E-01    1.192725E-06    6.307275E-06
      430    4.3000E-06    1.082449E+00    1.202679E-01    1.155523E-06    6.344477E-06
