iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
        0    0.0000E+00    1.082445E+00    1.202717E-01    4.228600E-06    1.000000E-15    1.000000E-15
     1000    1.0000E-03    1.087387E+00    1.153294E-01    1.296697E-07    7.386535E-07    3.360277E-06
     2000    2.0000E-03    1.092145E+00    1.105718E-01    1.296353E-07    7.434584E-07    3.355506E-06
     3000    3.0000E-03    1.096720E+00    1.059963E-01    1.295885E-07    7.484467E-07    3.350565E-06
     4000    4.0000E-03    1.101119E+00    1.015974E-01    1.295292E-07    7.536258E-07    3.345445E-06
     5000    5.0000E-03    1.105347E+00    9.737001E-02    1.294572E-07    7.590037E-07    3.340139E-06
     6000    6.0000E-03    1.109408E+00    9.330871E-02    1.293723E-07    7.645881E-07    3.334640E-06
     7000    7.0000E-03    1.113308E+00    8.940834E-02    1.292744E-07    7.703873E-07    3.328938E-06
     8000    8.0000E-03    1.117053E+00    8.566373E-02    1.291633E-07    7.764094E-07    3.323027E-06
     9000    9.0000E-03    1.120647E+00    8.206978E-02    1.290388E-07    7.826627E-07    3.316899E-06
    10000    1.0000E-02    1.124095E+00    7.862146E-02    1.289007E-07    7.891557E-07    3.310544E-06
    11000    1.1000E-02    1.127403E+00    7.531382E-02    1.287488E-07    7.958969E-07    3.303954E-06
    12000    1.2000E-02    1.130575E+00    7.214200E-02    1.285829E-07    8.028950E-07    3.297122E-06
    13000    1.3000E-02    1.133615E+00    6.910123E-02    1.284029E-07    8.101586E-07    3.290039E-06
    14000    1.4000E-02    1.136530E+00    6.618682E-02    1.282085E-07    8.176963E-07    3.282695E-06
    15000    1.5000E-02    1.139322E+00    6.339421E-02    1.279995E-07    8.255169E-07    3.275084E-06
    16000    1.6000E-02    1.141998E+00    6.071893E-02    1.277758E-07    8.336291E-07    3.267195E-06
    17000    1.7000E-02    1.144560E+00    5.815662E-02    1.275370E-07    8.420414E-07    3.259022E-06
    18000    1.8000E-02    1.147014E+00    5.570303E-02    1.272831E-07    8.507626E-07    3.250554E-06
    19000    1.9000E-02    1.149363E+00    5.335402E-02    1.270138E-07    8.598010E-07    3.241785E-06
    20000    2.0000E-02    1.151611E+00    5.110557E-02    1.267289E-07    8.691651E-07    3.232706E-06
    21000    2.1000E-02    1.153763E+00    4.895376E-02    1.264282E-07    8.788628E-07    3.223309E-06
    22000    2.2000E-02    1.155822E+00    4.689480E-02    1.261115E-07    8.889024E-07    3.213586E-06
