iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
        0    0.0000E+00    1.082445E+00    1.202717E-01    4.228600E-06    1.000000E-15    1.000000E-15
      100    1.0000E-08    1.082445E+00    1.202716E-01    1.837925E-06    3.314034E-07    2.059271E-06
      200    2.0000E-08    1.082445E+00    1.202715E-01    8.403523E-07    4.746481E-07    2.913600E-06
      300    3.0000E-08    1.082445E+00    1.202714E-01    4.271504E-07    5.386936E-07    3.262756E-06
      400    4.0000E-08    1.082445E+00    1.202714E-01    2.559064E-07    5.697059E-07    3.402988E-06
      500    5.0000E-08    1.082445E+00    1.202714E-01    1.848494E-07    5.868116E-07    3.456939E-06
      600    6.0000E-08    1.082445E+00    1.202713E-01    1.552812E-07    5.979414E-07    3.475377E-06
      700    7.0000E-08    1.082445E+00    1.202713E-01    1.428983E-07    6.063901E-07    3.479312E-06
      800    8.0000E-08    1.082445E+00    1.202712E-01    1.376378E-07    6.135324E-07    3.477430E-06
      900    9.0000E-08    1.082445E+00    1.202712E-01    1.353331E-07    6.199476E-07    3.473319E-06
     1000    1.0000E-07    1.082446E+00    1.202711E-01    1.342587E-07    6.258849E-07    3.468456E-06
     1100    1.1000E-07    1.082446E+00    1.202711E-01    1.336998E-07    6.314567E-07    3.463443E-06
     1200    1.2000E-07    1.082446E+00    1.202710E-01    1.333602E-07    6.367179E-07    3.458522E-06
     1300    1.3000E-07    1.082446E+00    1.202710E-01    1.331169E-07    6.416996E-07    3.453784E-06
     1400    1.4000E-07    1.082446E+00    1.202709E-01    1.329187E-07    6.464222E-07    3.449259E-06
     1500    1.5000E-07    1.082446E+00    1.202709E-01    1.327442E-07    6.509016E-07    3.444954E-06
     1600    1.6000E-07    1.082446E+00    1.202708E-01    1.325842E-07    6.551513E-07    3.440865E-06
     1700    1.7000E-07    1.082446E+00    1.202708E-01    1.324347E-07    6.591834E-07    3.436982E-06
     1800    1.8000E-07    1.082446E+00    1.202707E-01    1.322938E-07    6.630093E-07    3.433297E-06
     1900    1.9000E-07    1.082446E+00    1.202707E-01    1.321605E-07    6.666395E-07    3.429800E-06
     2000    2.0000E-07    1.082446E+00    1.202706E-01    1.320342E-07    6.700842E-07    3.426482E-06
     2100    2.1000E-07    1.082446E+00    1.202706E-01    1.319144E-07    6.733528E-07    3.423333E-06
     2200    2.2000E-07    1.082446E+00    1.202705E-01    1.318008E-07    6.764543E-07    3.420345E-06
     2300    2.3000E-07    1.082446E+00    1.202705E-01    1.316930E-07    6.793973E-07    3.417510E-06
     2400    2.4000E-07    1.082446E+00    1.202704E-01    1.315907E-07    6.821898E-07    3.414820E-06
     2500    2.5000E-07    1.082446E+00    1.202704E-01    1.314936E-07    6.848396E-07    3.412267E-06
     2600    2.6000E-07    1.082446E+00    1.202704E-01    1.314015E-07    6.873539E-07    3.409845E-06
     2700    2.7000E-07    1.082446E+00    1.202703E-01    1.313141E-07    6.897398E-07    3.407546E-06
     2800    2.8000E-07    1.082446E+00    1.202703E-01    1.312312E-07    6.920036E-07    3.405365E-06
     2900    2.9000E-07    1.082446E+00    1.202702E-01    1.311525E-07    6.941518E-07    3.403296E-06
