iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
        0    0.0000E+00    1.082445E+00    1.202717E-01    4.228600E-06    1.000000E-15    1.000000E-15
        1    1.0000E-10    1.082445E+00    1.202717E-01    4.204682E-06    3.286690E-09    2.063148E-08
        2    2.0000E-10    1.082445E+00    1.202717E-01    4.172977E-06    7.643798E-09    4.797889E-08
        3    3.0000E-10    1.082445E+00    1.202717E-01    4.138878E-06    1.233067E-08    7.739156E-08
        4    4.0000E-10    1.082445E+00    1.202717E-01    4.104184E-06    1.709995E-08    1.073162E-07
        5    5.0000E-10    1.082445E+00    1.202717E-01    4.069496E-06    2.186919E-08    1.372352E-07
        6    6.0000E-10    1.082445E+00    1.202717E-01    4.035012E-06    2.661106E-08    1.669769E-07
        7    7.0000E-10    1.082445E+00    1.202717E-01    4.000798E-06    3.131668E-08    1.964855E-07
        8    8.0000E-10    1.082445E+00    1.202717E-01    3.966873E-06    3.598331E-08    2.257439E-07
        9    9.0000E-10    1.082445E+00    1.202717E-01    3.933242E-06    4.061028E-08    2.547480E-07
       10    1.0000E-09    1.082445E+00    1.202717E-01    3.899905E-06    4.519757E-08    2.834977E-07
       11    1.1000E-09    1.082445E+00    1.202717E-01    3.866860E-06    4.974544E-08    3.119946E-07
       12    1.2000E-09    1.082445E+00    1.202717E-01    3.834105E-06    5.425419E-08    3.402407E-07
       13    1.3000E-09    1.082445E+00    1.202716E-01    3.801638E-06    5.872415E-08    3.682381E-07
       14    1.4000E-09    1.082445E+00    1.202716E-01    3.769455E-06    6.315565E-08    3.959889E-07
       15    1.5000E-09    1.082445E+00    1.202716E-01    3.737556E-06    6.754903E-08    4.234954E-07
       16    1.6000E-09    1.082445E+00    1.202716E-01    3.705936E-06    7.190462E-08    4.507596E-07
       17    1.7000E-09    1.082445E+00    1.202716E-01    3.674594E-06    7.622277E-08    4.777837E-07
       18    1.8000E-09    1.082445E+00    1.202716E-01    3.643526E-06    8.050378E-08    5.045698E-07
       19    1.9000E-09    1.082445E+00    1.202716E-01    3.612732E-06    8.474799E-08    5.311200E-07
       20    2.0000E-09    1.082445E+00    1.202716E-01    3.582208E-06    8.895573E-08    5.574363E-07
       21    2.1000E-09    1.082445E+00    1.202716E-01    3.551952E-06    9.312731E-08    5.835209E-07
